Public Water Supply,4210.72,828.79,486.22,5525.72,0.04,1005.32,741.53
Self-Supply Commercial & Institutional,59.54,67.52,14.33,141.38,0,2.13,25.48
Self-Supply Irrigation,3.52,192.52,408.43,604.47,0,0.2,531.84
Self-Supply Livestock,0.64,83.3,62.58,146.52,0,-0.18,14.13
Self-Supply Industrial,3370.17,966.74,289.77,4626.68,0,34.52,714.79
Self-Supply Thermoelectric Power Production (Once-through cooling),27620.98,2937.64,1.29,30559.91,0,0,283.88
Self-Supply Thermoelectric Power Production (Recirculated cooling),742.16,30.88,11.11,784.15,0,8.95,98.59
Off-Stream Hydroelectric Power Production,19.55,441.43,0,460.98,0,0,1.76
In-Stream Hydroelectric Water Use,239762.6,202691.56,0,442454.16,0,-3013.83,0
Other Self Supply,209.37,949.95,16.56,1175.89,0,216.11,44.35
Total:,275999.24,209190.34,1290.28,486479.86,0.04,-1746.78,2456.35
