Monthly data for lake:, mic,,,,,,,,,,,
Subbasin:, Overlake,,,,,,,,,,,
DataType:, Precipitation,,,,,,,,,,,
DataType:, Sum of daily precipitation values,,,,,,,,,,,
Units:, mm,,,,,,,,,,,
YYYY,       Jan,       Feb,       Mar,       Apr,       May,       Jun,       Jul,       Aug,       Sep,       Oct,       Nov,       Dec
2000,43.58,37.72,40.49,75.85,125.81,94.34,105.76,81.2,136.87,36.79,82.33,60.46
2001,33.39,59.26,17.3,77.19,132.51,93.45,41.94,113.21,129.58,137.03,63.22,48.86
2002,25.11,46.45,69.91,110.81,100.15,95.04,65.67,112.79,56.46,85.03,31.46,24.83
2003,15.56,23.2,51.23,81.82,94.31,51.54,93.24,59.32,70.14,62.22,130.56,47.25
2004,44.74,38.39,105.67,54.95,193.52,101,70.82,90.79,21.64,102.07,76.46,74.27
2005,70.4,49.37,40.92,29.88,52.06,36.61,70.13,77.78,88.12,33.79,121.65,41.12
2006,71.75,34.86,54.75,70.29,122.99,44.41,87.19,83.83,101.45,114.32,60.95,73.76
2007,45.97,32.51,76.72,74.49,52.01,69.52,70.22,126.63,54.99,91.01,26.66,70.51
2008,86.12,96.96,42.35,113.91,66.37,137.39,89.64,30.31,121.89,60.27,57.83,136.93
2009,31.54,60.36,67.49,94.28,83.01,86.06,42.87,126.12,41.94,165.49,36.19,85.17
2010,25.48,31.57,19.48,68.17,89.42,159.12,123.44,64.14,125.23,48.41,43.83,50.04
2011,61.05,42.18,59.68,147.41,96.66,97.67,76.85,66.63,97.22,74.29,86.97,47.15
2012,49.88,28.49,71.93,59.49,75.5,64.66,90.19,55.35,58.98,137.47,23.04,72.52
2013,79.77,79.49,45.35,133.14,84.34,93.28,78.51,72.08,61.97,105.65,121.55,51.29
2014,65.68,36.54,36.67,103.55,87.41,122.63,70.4,87.68,96.9,135.44,89.59,38.17
2015,28.38,29.89,22.17,75.04,95.3,80.16,55.81,83.01,94.99,62.15,97.69,128.32
2016,40.08,35.43,92.7,64.52,61.73,86.3,101.11,121.3,106.6,92.29,51.98,61.65
2017,66.96,36.29,88.39,104.4,78.67,137.77,97.86,77.12,29.09,173.55,54.87,47.61
2018,50.43,67.66,26.16,84.44,124.14,104.08,66.76,136.7,88.96,135.68,62.85,49.15
2019,67.63,82.69,45.67,98.08,137.86,103.08,88.42,85.1,174.31,158.61,66.6,83.07
2020,59.27,27.65,88.9,91.53,121.43,91.94,103.43,76.82,70.74,111.05,56.63,37.23
