Monthly data for lake:, stc,,,,,,,,,,,
Subbasin:, Overlake,,,,,,,,,,,
DataType:, Precipitation,,,,,,,,,,,
DataType:, Sum of daily precipitation values,,,,,,,,,,,
Units:, mm,,,,,,,,,,,
YYYY,       Jan,       Feb,       Mar,       Apr,       May,       Jun,       Jul,       Aug,       Sep,       Oct,       Nov,       Dec
2000,44.71,34.86,31.33,98,113.24,109.29,149.9,107.19,89.87,58.96,52.58,81.8
2001,16.53,69.59,29.43,73.54,88.47,65.16,24.65,92.92,134.35,155.7,100.8,53.63
2002,54.33,52.17,43.74,102.28,81.69,63.38,83.16,25.99,42.25,39.38,66.78,45.17
2003,17.86,38.57,52.83,58.42,137.18,80.21,42.8,76.51,102.2,54.71,93.66,63.65
2004,53.03,19.95,91.32,30.79,161.83,79.11,76.57,94.86,21.1,69.13,76.37,77.16
2005,91.63,79.86,29.23,63.38,43.52,45.61,98.48,57.95,80.9,16.54,85.07,63.56
2006,73.84,56.77,49.23,57.6,119.73,78.69,109.09,55.83,56.94,114.91,74.57,96.5
2007,96.53,17.3,109.6,67.77,88.55,44.31,40.87,128.02,40.17,57.62,27.96,81.28
2008,62.67,78.13,70.93,34.85,48.25,143.31,115.56,56.7,146.76,32.63,84.12,99.35
2009,43.02,62.75,105.4,134.52,61.72,114.48,72.85,123.06,38.48,61.18,16.1,73.52
2010,17.55,38.85,44.52,60.72,137.81,114.67,157.4,25.96,98.22,47.37,85.62,26.06
2011,38.69,70.78,112.85,135.61,181.13,74.53,147.98,70.21,180.19,102.17,160.5,74.9
2012,62.87,38.21,73.62,42.7,81.11,50.74,142.71,91.23,56.16,69.62,17.26,64.65
2013,84.87,57.27,15.46,150.4,86.86,116.36,142.59,42.62,60.25,55.48,58.12,60.88
2014,66.74,57.92,31.92,54.64,146.56,94.17,84.28,145.47,133.67,49.16,43.4,30.91
2015,35.84,34.39,23.13,79.57,113.32,138.82,51.74,98.89,79.68,67.25,60.06,75.48
2016,36.02,63.02,135.68,47.83,55.75,26.33,98.27,159.18,136.11,77.12,48.82,54.79
2017,64.14,48.76,103.8,103.84,127.85,76.81,70.05,149.84,28.87,94.97,102.29,28.6
2018,32.12,105.79,39.38,111.75,129.59,101.99,37.88,70.6,112.59,115.22,91.04,54.14
2019,58.24,60.94,66.02,123.09,123.9,85.85,67.52,103.52,84,99.08,53.08,45.58
2020,102.74,31.62,70.62,43.93,97.92,81.77,73.38,196.26,71.78,73.39,68.83,41.04
