Monthly data for lake:, sup,,,,,,,,,,,
Subbasin:, Overlake,,,,,,,,,,,
DataType:, Precipitation,,,,,,,,,,,
DataType:, Sum of daily precipitation values,,,,,,,,,,,
Units:, mm,,,,,,,,,,,
YYYY,       Jan,       Feb,       Mar,       Apr,       May,       Jun,       Jul,       Aug,       Sep,       Oct,       Nov,       Dec
2000,56.51,22.54,57.32,33.83,56.93,109.41,49.44,54.24,53.52,48.62,62.66,45.45
2001,41.31,48.52,20.39,143.59,78.12,69.16,72.3,74.55,65.2,105.35,83.69,45.02
2002,21.05,36.98,59.66,64.04,60.17,78.78,65.12,75.85,112.96,116.48,36.39,27.22
2003,33.19,28.37,45.6,69.67,79.34,40.1,102.67,52.68,99.95,59.94,57.01,38.45
2004,52.52,26.82,62.05,57.38,90.94,56.36,66.18,91.2,55.27,122.04,37.76,75.9
2005,48.71,32.03,27.53,30.77,79.95,90.86,36.8,42.97,91.94,120.98,84.16,55.39
2006,39.88,37.33,42.94,30.95,98.96,41.18,87.78,35.86,74.77,62.87,35.65,57.22
2007,33.65,27.46,46.94,66.33,52.82,70.18,55.62,44.02,182.63,162.21,47.94,61.82
2008,50.85,29.21,30.94,79.1,76.22,112.59,89.49,38.5,78.98,53.96,62.09,77.96
2009,38.85,41.92,39.47,74.95,57.11,74.12,71.05,110.9,38.38,117.42,41.75,65.69
2010,35.05,21.64,9.26,24.79,40.97,128.66,80.54,80.7,163.34,58.69,63.16,42.15
2011,48.09,20.07,29.48,79.04,80.65,100.13,58.23,61.35,90.38,64.88,49.86,41.6
2012,52.14,24.03,51.53,49.04,87.78,96.03,81.74,58.11,76.91,115.59,60.89,39.33
2013,58.48,51.91,51.51,109.24,108.28,80.98,146.57,86.66,67.44,88.49,94.29,67.04
2014,57.82,41.9,38.85,95.19,70.81,98.25,93.74,78.7,97.84,117.07,99.98,62.18
2015,45.07,36.8,30.95,54.77,109.64,90.89,48.35,68.7,62.76,67.16,100.1,119.26
2016,60.9,65.31,63.35,65.98,66.31,90.04,109.27,98.24,141.17,78.46,73.04,87.84
2017,54.94,64.52,44.13,104.54,94.7,125.12,74.98,141.38,87.09,159.48,61.73,76.61
2018,57.93,44.23,14.32,51.75,56.63,69.12,86.27,77.64,133.66,169.69,82.3,47.26
2019,63.64,113.66,38.84,114.83,100.04,81.5,79,79.28,124.55,131.61,88.26,103.97
2020,70.17,32.23,69.71,66.59,49.14,69.08,113.43,103.32,77.9,116.93,58.09,45.57
